#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
#Nbpts		#Mean		#Var		#Min		#Max		#Analytical		#MSE		#NbPtsets
16		130.125		3702.43		55.6875		228.375		130.15		3332.19		10
16		148.3		4234.71		67.3125		267		130.15		4140.67		10
25		121.392		818.22		81.68		166.44		130.15		813.096		10
36		123.597		405.808		105.75		159.306		130.15		408.163		10
64		118.794		920.962		63.375		152.953		130.15		957.824		10
81		128.902		261.104		94.284		145.63		130.15		236.549		10
121		131.863		291.147		109.876		168.504		130.15		264.967		10
169		129.077		103.805		106.314		142.663		130.15		94.5756		10
256		133.671		85.0074		120.707		147.863		130.15		88.9066		10
361		131.919		40.0783		119.521		144.102		130.15		39.1992		10
484		131.456		21.2329		122.862		136.072		130.15		20.8164		10
676		129.525		20.6436		124.706		139.265		130.15		18.9701		10
1024		127.642		30.4693		122.032		137.244		130.15		33.7136		10
1444		131.812		12.1299		126.796		137.611		130.15		13.6814		10
2025		130.691		3.29035		128.147		134.154		130.15		3.25382		10
2809		128.966		9.26468		122.425		133.513		130.15		9.74045		10
4096		130.169		3.56481		126.877		133.378		130.15		3.20868		10
5776		130.354		2.66725		127.521		132.612		130.15		2.4422		10
8100		129.803		1.59075		126.892		131.026		130.15		1.55224		10
11449		130.095		0.765765		128.721		131.519		130.15		0.69215		10
16384		129.898		0.937558		127.859		130.943		130.15		0.907361		10
23104		130.115		0.430712		129.118		131.396		130.15		0.388847		10
32761		129.87		0.207077		128.972		130.485		130.15		0.264528		10
46225		129.992		0.177626		129.256		130.667		130.15		0.184597		10
65536		130.027		0.0429237		129.69		130.26		130.15		0.0536331		10
92416		130.111		0.0590027		129.756		130.544		130.15		0.0545793		10
131044		130.062		0.0374563		129.689		130.417		130.15		0.0414637		10
184900		130.019		0.0249704		129.842		130.293		130.15		0.0395058		10
262144		130.015		0.0164434		129.826		130.252		130.15		0.0329916		10
369664		130.036		0.00535544		129.934		130.162		130.15		0.0176667		10
524176		130.014		0.00294935		129.964		130.126		130.15		0.0210081		10
741321		130.049		0.00173411		129.985		130.102		130.15		0.011656		10
1.04858e+06		130.033		0.000943316		129.988		130.086		130.15		0.0144289		10
