0	0	32	32	16	48	48	16	8	56	40	24	24	8	56	40	4	20	36	52	20	36	52	4	12	44	44	12	28	28	60	60	2	14	34	46	18	62	50	30	10	54	42	22	26	6	58	38	6	26	38	58	22	42	54	10	14	34	46	2	30	18	62	50	1	43	33	11	17	27	49	59	9	19	41	51	25	35	57	3	5	63	37	31	21	15	53	47	13	7	45	39	29	55	61	23	3	37	35	5	19	21	51	53	11	29	43	61	27	45	59	13	7	49	39	17	23	1	55	33	15	9	47	41	31	57	63	25	172898974340154992	1470706753313183401
0	0	40	24	20	36	60	60	10	54	34	46	30	18	54	10	5	63	45	39	17	27	57	3	15	9	39	17	27	45	51	53	42	14	2	22	62	42	22	50	32	56	8	32	52	28	28	4	47	49	7	41	59	21	19	13	37	7	13	31	49	35	25	59	21	43	61	51	1	15	41	23	31	29	55	5	11	57	35	33	16	20	56	12	4	48	44	40	26	34	50	58	14	6	38	30	63	37	23	61	43	1	3	25	53	19	29	11	33	55	9	47	58	26	18	2	46	62	6	38	48	44	24	52	36	8	12	16	529797934093646757	244883229738284123
0	0	52	20	26	14	46	26	57	63	13	43	35	49	23	37	40	2	28	22	50	12	6	24	17	61	37	41	11	51	63	39	32	21	20	1	58	27	14	15	25	42	45	62	3	36	55	48	8	23	60	3	18	25	38	13	49	40	5	60	43	38	31	50	16	11	36	31	10	5	62	17	41	52	29	32	51	58	7	46	56	9	12	29	34	7	22	19	1	54	53	34	27	56	47	44	48	30	4	10	42	16	30	4	9	33	61	53	19	47	39	59	24	28	44	8	2	18	54	6	33	35	21	55	59	45	15	57	1527609905163278756	1589489193485090379
0	16	52	4	26	30	46	10	57	47	13	59	35	33	23	53	40	18	28	6	50	28	6	8	17	45	37	57	11	35	63	55	32	5	20	17	58	11	14	31	25	58	45	46	3	52	55	32	8	7	60	19	18	9	38	29	49	56	5	44	43	54	31	34	16	27	36	15	10	21	62	1	41	36	29	48	51	42	7	62	56	25	12	13	34	23	22	3	1	38	53	50	27	40	47	60	48	14	4	26	42	0	30	20	9	49	61	37	19	63	39	43	24	12	44	24	2	2	54	22	33	51	21	39	59	61	15	41	1671716210989938215	1423981907179209937
0	24	52	12	26	22	46	2	57	39	13	51	35	41	23	61	40	26	28	14	50	20	6	0	17	37	37	49	11	43	63	63	32	13	20	25	58	3	14	23	25	50	45	38	3	60	55	40	8	15	60	27	18	1	38	21	49	48	5	36	43	62	31	42	16	19	36	7	10	29	62	9	41	44	29	56	51	34	7	54	56	17	12	5	34	31	22	11	1	46	53	58	27	32	47	52	48	6	4	18	42	8	30	28	9	57	61	45	19	55	39	35	24	4	44	16	2	10	54	30	33	59	21	47	59	53	15	33	1318447011748560281	1946399463954200651
0	48	52	36	26	62	46	42	57	15	13	27	35	1	23	21	40	50	28	38	50	60	6	40	17	13	37	25	11	3	63	23	32	37	20	49	58	43	14	63	25	26	45	14	3	20	55	0	8	39	60	51	18	41	38	61	49	24	5	12	43	22	31	2	16	59	36	47	10	53	62	33	41	4	29	16	51	10	7	30	56	57	12	45	34	55	22	35	1	6	53	18	27	8	47	28	48	46	4	58	42	32	30	52	9	17	61	5	19	31	39	11	24	44	44	56	2	34	54	54	33	19	21	7	59	29	15	9	1671736374118585008	2885681461237670965
0	56	52	44	26	54	46	34	57	7	13	19	35	9	23	29	40	58	28	46	50	52	6	32	17	5	37	17	11	11	63	31	32	45	20	57	58	35	14	55	25	18	45	6	3	28	55	8	8	47	60	59	18	33	38	53	49	16	5	4	43	30	31	10	16	51	36	39	10	61	62	41	41	12	29	24	51	2	7	22	56	49	12	37	34	63	22	43	1	14	53	26	27	0	47	20	48	38	4	50	42	40	30	60	9	25	61	13	19	23	39	3	24	36	44	48	2	42	54	62	33	27	21	15	59	21	15	1	381779351509111688	499899558638133409
1	2	41	26	21	38	61	62	11	52	35	44	31	16	55	8	4	61	44	37	16	25	56	1	14	11	38	19	26	47	50	55	43	12	3	20	63	40	23	48	33	58	9	34	53	30	29	6	46	51	6	43	58	23	18	15	36	5	12	29	48	33	24	57	20	41	60	49	0	13	40	21	30	31	54	7	10	59	34	35	17	22	57	14	5	50	45	42	27	32	51	56	15	4	39	28	62	39	22	63	42	3	2	27	52	17	28	9	32	53	8	45	59	24	19	0	47	60	7	36	49	46	25	54	37	10	13	18	97426300988792369	244883229738275981
1	4	41	28	21	32	61	56	11	50	35	42	31	22	55	14	4	59	44	35	16	31	56	7	14	13	38	21	26	41	50	49	43	10	3	18	63	46	23	54	33	60	9	36	53	24	29	0	46	53	6	45	58	17	18	9	36	3	12	27	48	39	24	63	20	47	60	55	0	11	40	19	30	25	54	1	10	61	34	37	17	16	57	8	5	52	45	44	27	38	51	62	15	2	39	26	62	33	22	57	42	5	2	29	52	23	28	15	32	51	8	43	59	30	19	6	47	58	7	34	49	40	25	48	37	12	13	20	529791754815817207	244883229738277658
1	6	41	30	21	34	61	58	11	48	35	40	31	20	55	12	4	57	44	33	16	29	56	5	14	15	38	23	26	43	50	51	43	8	3	16	63	44	23	52	33	62	9	38	53	26	29	2	46	55	6	47	58	19	18	11	36	1	12	25	48	37	24	61	20	45	60	53	0	9	40	17	30	27	54	3	10	63	34	39	17	18	57	10	5	54	45	46	27	36	51	60	15	0	39	24	62	35	22	59	42	7	2	31	52	21	28	13	32	49	8	41	59	28	19	4	47	56	7	32	49	42	25	50	37	14	13	22	529835468443442930	1182476377161473322
